1;1;NetSky;35000.00;SongA, SongB, SongC;
2;1;David Guetta;90000.50;SongD, SongE;i need an extra micro
3;1;Solomun;30000.00;SongF, SongG;
4;2;Materia;40000.00;SongH, SongI, SongJ;
5;2;Linkin Park;120000.00;SongA, SongB, SongC;
6;2;Green Day;80000.00;SongD, SongE;we would like to have green decoration
7;3;Parov Stellar;70000.00;SongF, SongG;
8;3;Avicii;100000.00;SongH, SongI, SongJ;
9;3;Paul Kalkbrenner;95000.00;SongA, SongB, SongC;
10;3;Deadmau5;30000.00;SongD, SongE;please be careful with my head
